S_in,E_required_dB,eta_alg_required,gamma_effective_required,beta,q_active,gamma_target,Ka
1.582329317269076663e-01,-8.200000000001104183e-01,9.970601564854802978e-01,6.604065146495408101e+01,4.147981365461848327e+03,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.680722891566265309e-01,-8.200000000001104183e-01,9.968740296124166678e-01,6.602832328207333035e+01,4.405914216867470714e+03,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.779116465863453955e-01,-8.200000000001104183e-01,9.966874585196940917e-01,6.601596567613773914e+01,4.663847068273093100e+03,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.877510040160642601e-01,-8.200000000001104183e-01,9.965004970413117169e-01,6.600358221286232663e+01,4.921779919678714577e+03,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.975903614457831803e-01,-8.200000000001104183e-01,9.963131883883450390e-01,6.599117575434877381e+01,5.179712771084338783e+03,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
2.074297188755020449e-01,-8.200000000001104183e-01,9.961254813496582816e-01,6.597874290860843871e+01,5.437645622489961170e+03,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
2.172690763052209095e-01,-8.200000000001104183e-01,9.959373550061488833e-01,6.596628229005671074e+01,5.695578473895582647e+03,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
2.271084337349397742e-01,-8.200000000001104183e-01,9.957488463958640290e-01,6.595379635192250589e+01,5.953511325301205034e+03,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
2.369477911646586388e-01,-8.200000000001104183e-01,9.955599669755337278e-01,6.594128585304657975e+01,6.211444176706827420e+03,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
2.467871485943775589e-01,-8.200000000001104183e-01,9.953706480659454403e-01,6.592874624443568621e+01,6.469377028112450716e+03,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
2.566265060240964235e-01,-8.200000000001104183e-01,9.951809110525782209e-01,6.591617894256501131e+01,6.727309879518073103e+03,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
2.664658634538152882e-01,-8.200000000001104183e-01,9.949907953153012130e-01,6.590358655577485081e+01,6.985242730923695490e+03,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
2.763052208835341528e-01,-8.100000000001106315e-01,9.948694647514438882e-01,6.604745511205018715e+01,7.243175582329317876e+03,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
2.861445783132530174e-01,-8.100000000001106315e-01,9.946810120662609167e-01,6.603494410361504663e+01,7.501108433734940263e+03,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
2.959839357429719375e-01,-8.100000000001106315e-01,9.944921290266299785e-01,6.602240452478238808e+01,7.759041285140563559e+03,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
