eta,g_Popt,g_Palg,g_Pstar,g_mixture,G_Popt,G_Palg,G_Pstar,G_mixture
6.553980825343894145e-02,-9.760525443091765396e+00,-8.366769846846246139e+00,-6.123233425170431232e+00,-9.060307635546006821e+00,4.206204688651142831e-01,5.022697975621702726e-01,6.627328411435280398e-01,4.672297027845223605e-01
6.590245935806586519e-02,-9.677040642385685842e+00,-8.284437039342183340e+00,-6.046410042044458422e+00,-8.978105229321894143e+00,4.170959414590357239e-01,4.992505082768464719e-01,6.605261738203773714e-01,4.639588776089419442e-01
6.626511046269278893e-02,-9.594481183711771166e+00,-8.203044470420088885e+00,-5.970579023676343411e+00,-8.896841067725013374e+00,4.136015221199976777e-01,4.962609065858308854e-01,6.583471866408907580e-01,4.607176930990564134e-01
6.662776156731972654e-02,-9.512832114715806142e+00,-8.122577252056366603e+00,-5.895725296238209623e+00,-8.816500175016162899e+00,4.101368779829338562e-01,4.933006542101421310e-01,6.561955224561624167e-01,4.575058117148994574e-01
6.699041267194663640e-02,-9.432078808987091278e+00,-8.043020819505690255e+00,-5.821834085689562954e+00,-8.737067896364315800e+00,4.067016815461642620e-01,4.903694182113388367e-01,6.540708295294687113e-01,4.543229012892845420e-01
6.735306377657357402e-02,-9.352206956236923219e+00,-7.964360927620598218e+00,-5.748890910698158052e+00,-8.658529888553054832e+00,4.032956105549709847e-01,4.874668708749486656e-01,6.519727614288314266e-01,4.511686349131114326e-01
6.771571488120051163e-02,-9.273202553823592709e+00,-7.886583639299663773e+00,-5.676881617672771441e+00,-8.580872119881266968e+00,3.999183478884946741e-01,4.845926895966616854e-01,6.499009769145165372e-01,4.480426908223781313e-01
6.807836598582742149e-02,-9.195051898548275204e+00,-7.809675308292323592e+00,-5.605792336805702547e+00,-8.504080855076121992e+00,3.965695814496529303e-01,4.817465567737345689e-01,6.478551398281480189e-01,4.449447522879446115e-01
6.844101709045435911e-02,-9.117741578711525463e+00,-7.733622578173843465e+00,-5.535609454212135461e+00,-8.428142643515325716e+00,3.932490040579863511e-01,4.789281596996982637e-01,6.458349189948454638e-01,4.418745075101674358e-01
6.880366819508128284e-02,-9.041258466420881490e+00,-7.658412374693487124e+00,-5.466319660926243884e+00,-8.353044322447839676e+00,3.899563133453425312e-01,4.761371904606415129e-01,6.438399881215294274e-01,4.388316495150886842e-01
